# a small number of samples are being processed and this list will be updated soon
CAMB-76506,ERS4946215,EPI_ISL_438358
CAMB-76515,ERS4946339,EPI_ISL_438475
CAMB-76524,ERS4946271,EPI_ISL_438408
CAMB-76533,ERS4890468,EPI_ISL_439506
CAMB-76542,ERS4946359,EPI_ISL_438495
CAMB-76551,ERS4946180,EPI_ISL_438323
CAMB-76560,ERS4946221,EPI_ISL_438363
CAMB-7657F,ERS4890495,EPI_ISL_439530
CAMB-7658E,ERS4890477,EPI_ISL_439515
CAMB-7659D,ERS4946233,EPI_ISL_438374
CAMB-765AC,ERS4890433,EPI_ISL_439471
CAMB-765BB,ERS4890317,EPI_ISL_438538
CAMB-765CA,ERS4890483,EPI_ISL_439520
CAMB-765E8,ERS4946311,EPI_ISL_438447
CAMB-765F7,ERS4946357,EPI_ISL_438493
CAMB-76603,ERS4890377,EPI_ISL_439419
CAMB-76612,ERS4946214,EPI_ISL_438357
CAMB-76621,ERS4946213,EPI_ISL_438356
CAMB-76630,ERS4890369,EPI_ISL_439411
CAMB-7664F,ERS4946300,EPI_ISL_438436
CAMB-7666D,ERS4890453,EPI_ISL_439491
CAMB-7667C,ERS4890351,EPI_ISL_439394
CAMB-7668B,ERS4946354,EPI_ISL_438490
CAMB-766B8,ERS4890485,EPI_ISL_439522
CAMB-766C7,ERS4946330,EPI_ISL_438466
CAMB-766D6,ERS4946285,EPI_ISL_438421
CAMB-766E5,ERS4946370,EPI_ISL_438506
CAMB-766F4,ERS4946281,EPI_ISL_438417
CAMB-7672E,ERS4946194,EPI_ISL_438337
CAMB-7673D,ERS4946289,EPI_ISL_438425
CAMB-7674C,ERS4946116,EPI_ISL_438259
CAMB-7675B,ERS4946241,EPI_ISL_438382
CAMB-7676A,ERS4946257,EPI_ISL_438394
CAMB-76779,ERS4946310,EPI_ISL_438446
CAMB-76797,ERS4946196,EPI_ISL_438339
CAMB-767A6,ERS4946255,EPI_ISL_438392
CAMB-767B5,ERS4946216,NULL
CAMB-767C4,ERS4946291,EPI_ISL_438427
CAMB-767D3,ERS4946206,EPI_ISL_438349
CAMB-767E2,ERS4946242,EPI_ISL_438383
CAMB-767F1,ERS4946360,EPI_ISL_438496
CAMB-7680D,ERS4946321,EPI_ISL_438457
CAMB-7681C,ERS4946351,EPI_ISL_438487
CAMB-7682B,ERS4946129,EPI_ISL_438272
CAMB-7683A,ERS4946366,EPI_ISL_438502
CAMB-76849,ERS4946126,EPI_ISL_438269
CAMB-76858,ERS4946332,EPI_ISL_438468
CAMB-76867,ERS4946171,EPI_ISL_438314
CAMB-76876,ERS4946333,EPI_ISL_438469
CAMB-76885,ERS4946177,EPI_ISL_438320
CAMB-76894,ERS4946143,EPI_ISL_438286
CAMB-768A3,ERS4946207,EPI_ISL_438350
CAMB-768B2,ERS4946204,EPI_ISL_438347
CAMB-768C1,ERS4946307,EPI_ISL_438443
CAMB-768D0,ERS4946182,EPI_ISL_438325
CAMB-768EF,ERS4946234,EPI_ISL_438375
CAMB-768FE,ERS4946326,EPI_ISL_438462
CAMB-7690A,ERS4946219,EPI_ISL_438361
CAMB-76919,ERS4946259,EPI_ISL_438396
CAMB-76928,ERS4946113,EPI_ISL_438256
CAMB-76937,ERS4946132,EPI_ISL_438275
CAMB-76955,ERS4946179,EPI_ISL_438322
CAMB-76964,ERS4946297,EPI_ISL_438433
CAMB-76973,ERS4946313,EPI_ISL_438449
CAMB-76982,ERS4946251,EPI_ISL_438390
CAMB-76991,ERS4946288,EPI_ISL_438424
CAMB-769A0,ERS4946352,EPI_ISL_438488
CAMB-769BF,ERS4946183,EPI_ISL_438326
CAMB-769CE,ERS4946152,EPI_ISL_438295
CAMB-769DD,ERS4946155,EPI_ISL_438298
CAMB-769EC,ERS4946217,EPI_ISL_438359
CAMB-769FB,ERS4946160,EPI_ISL_438303
CAMB-76A16,ERS4946318,EPI_ISL_438454
CAMB-76A25,ERS4946320,EPI_ISL_438456
CAMB-76A34,ERS4946236,EPI_ISL_438377
CAMB-76A61,ERS4946186,EPI_ISL_438329
CAMB-76A70,ERS4946292,EPI_ISL_438428
CAMB-76A8F,ERS4946175,EPI_ISL_438318
CAMB-76A9E,ERS4946349,EPI_ISL_438485
CAMB-76AAD,ERS4946239,EPI_ISL_438380
CAMB-76ABC,ERS4946166,EPI_ISL_438309
CAMB-76ACB,ERS4946342,EPI_ISL_438478
CAMB-76ADA,ERS4946205,EPI_ISL_438348
CAMB-76AE9,ERS4946329,EPI_ISL_438465
CAMB-76AF8,ERS4946337,EPI_ISL_438473
CAMB-76B04,ERS4946298,EPI_ISL_438434
CAMB-76B13,ERS4946174,EPI_ISL_438317
CAMB-76B22,ERS4946153,EPI_ISL_438296
CAMB-76B31,ERS4946261,EPI_ISL_438398
CAMB-76B40,ERS4946231,EPI_ISL_438372
CAMB-76B5F,ERS4946240,EPI_ISL_438381
CAMB-76B6E,ERS4946286,EPI_ISL_438422
CAMB-76B7D,ERS4946118,EPI_ISL_438261
CAMB-76B8C,ERS4946151,EPI_ISL_438294
CAMB-76B9B,ERS4946122,EPI_ISL_438265
CAMB-76BB9,ERS4946363,EPI_ISL_438499
CAMB-76BC8,ERS4946348,EPI_ISL_438484
CAMB-76BD7,ERS4946295,EPI_ISL_438431
CAMB-76BE6,ERS4946309,EPI_ISL_438445
CAMB-76C01,ERS4946350,EPI_ISL_438486
CAMB-76C2F,ERS4946270,EPI_ISL_438407
CAMB-76C3E,ERS4946142,EPI_ISL_438285
CAMB-76C4D,ERS4946138,EPI_ISL_438281
CAMB-76C5C,ERS4946238,EPI_ISL_438379
CAMB-76C6B,ERS4946114,EPI_ISL_438257
